Item,Section,Description,Location in Manuscript
1,Title,Identify the study as developing/validating a prediction model with ML,"Title, p.1"
2,Abstract,"Structured summary including objectives, methods, results, conclusions","Abstract, p.1"
3a,Background,Explain the medical context and rationale,"Introduction, p.2-3"
3b,Objectives,Specify objectives including whether developing/validating,"Introduction, p.3"
4a,Source of data,Describe study design and data sources,"Methods 2.1, p.4"
4b,Participants,Describe eligibility criteria and key dates,"Methods 2.1-2.2, p.4-5"
5a,Outcome,Define outcome including timing and blinding,"Methods 2.3, p.5"
5b,Predictors,Define all predictors including timing of measurement,"Methods 2.3, p.5-6"
6a,Sample size,Explain how study size was determined,"Methods 2.1, p.4"
6b,Missing data,Describe how missing data were handled,"Methods 2.4, p.6"
7a,Statistical methods,Describe model development and internal validation,"Methods 2.5, p.6-7"
7b,Model specification,Specify type of model and all hyperparameters,"Methods 2.5, Table S5"
8,Risk groups,Describe how risk groups were created,"Methods 2.5, p.7"
9,Participants,Report flow of participants and characteristics,"Results 3.1, Table 1"
10a,Model development,Report performance measures with CIs,"Results 3.2-3.4, Tables 2-3"
10b,Model validation,Report external validation performance,"Results 3.3, Table 3"
11,Model updating,Report any model updating,N/A (no updating performed)
12,Discussion,Discuss limitations and clinical implications,"Discussion, p.12-15"
13,Supplementary,Provide supplementary information,Supplementary Tables S1-S7
AI-1,Model architecture,Describe ML algorithm type and architecture,"Methods 2.5, p.6-7"
AI-2,Feature engineering,Describe feature selection method (LASSO),"Methods 2.4, p.6"
AI-3,Data preprocessing,"Describe imputation, scaling, encoding","Methods 2.4, p.6"
AI-4,Training procedure,Describe training procedure including CV,"Methods 2.5, p.6-7"
AI-5,Hyperparameter tuning,Report search strategy and selected values,"Methods 2.5, Table S5"
AI-6,Software and versions,"Report software, libraries, and versions","Methods 2.6, p.7"
AI-7,Reproducibility,Code/data availability statement,"Methods 2.6, p.7"
AI-8,Interpretability,Report model interpretability methods (SHAP),"Results 3.5, Fig 7"
AI-9,Fairness assessment,Report subgroup performance,"Results 3.6, Table S6"
